"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-01","2021","01","01","","2.5","","-1.0","","0.7","","17.3","","0.0","","","","","","6.8","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-02","2021","01","02","","2.2","","-0.9","","0.7","","17.3","","0.0","","","","","","10.8","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-03","2021","01","03","","2.1","","0.2","","1.1","","16.9","","0.0","","","","","","1.7","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-04","2021","01","04","","1.7","","-0.1","","0.8","","17.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-05","2021","01","05","","1.6","","0.6","","1.1","","16.9","","0.0","","","","","","0.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-06","2021","01","06","","2.1","","-0.3","","0.9","","17.1","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-07","2021","01","07","","0.8","","-4.8","","-2.0","","20.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-08","2021","01","08","","-1.3","","-8.3","","-4.8","","22.8","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-09","2021","01","09","","4.1","","-2.4","","0.8","","17.2","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-10","2021","01","10","","2.1","","-2.0","","0.1","","17.9","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-11","2021","01","11","","1.2","","-3.1","","-1.0","","19.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-12","2021","01","12","","0.0","","-1.1","","-0.5","","18.5","","0.0","","","","","","0.3","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-13","2021","01","13","","3.6","","-0.5","","1.5","","16.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-14","2021","01","14","","5.2","","1.7","","3.4","","14.6","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-15","2021","01","15","","5.6","","2.7","","4.2","","13.8","","0.0","","","","","","2.9","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-16","2021","01","16","","5.0","","-0.3","","2.3","","15.7","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-17","2021","01","17","","5.1","","-0.6","","2.3","","15.7","","0.0","","","","","","0.2","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-18","2021","01","18","","1.2","","-2.3","","-0.5","","18.5","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-19","2021","01","19","","2.2","","-2.2","","0.0","","18.0","","0.0","","","","","","0.0","","0","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-20","2021","01","20","","-0.8","","-7.1","","-4.0","","22.0","","0.0","","","","","","0.0","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-21","2021","01","21","","4.0","","-0.8","","1.6","","16.4","","0.0","","","","","","0.1","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2021-01-22","2021","01","22","","2.6","","-6.4","","-1.9","","19.9","","0.0","","","","","","0.3","","","","","M","","M"
